"　　毎月勤労統計調査　産業別時系列表（賃金・労働時間・雇用指数、労働異動率及び対前年比（差））　　和歌山県","","","","","","","","","","","","","","","平成22年＝100",""
"パートタイム労働者比率（前年差）","I卸売業・小売業","５人以上","2006.0","-6.1","-7.9","-7.1","-8.7","-6.1","-3.4","-2.5","-8.0","-6.7","-4.9","-6.2","-5.3","-5.7"
"パートタイム労働者比率（前年差）","I卸売業・小売業","５人以上","2007.0","2.5","-2.2","-0.5","0.1","0.4","-0.7","-0.5","7.7","7.6","5.6","4.2","4.1","4.2"
"パートタイム労働者比率（前年差）","I卸売業・小売業","５人以上","2008.0","2.5","6.6","4.0","4.1","4.5","4.0","3.6","0.4","-1.8","-1.3","1.9","1.3","2.0"
"パートタイム労働者比率（前年差）","I卸売業・小売業","５人以上","2009.0","12.6","14.8","14.2","15.4","12.2","14.8","14.5","10.3","10.9","10.9","10.0","11.8","11.4"
"パートタイム労働者比率（前年差）","I卸売業・小売業","５人以上","2010.0","-3.0","-5.8","-6.7","-5.5","-1.9","-4.8","-4.3","-1.5","-1.3","-2.2","-1.0","-0.5","-0.8"
"パートタイム労働者比率（前年差）","I卸売業・小売業","５人以上","2011.0","3.5","4.8","6.6","5.1","5.0","5.3","4.6","2.6","2.8","3.8","1.7","-0.1","0.5"
"パートタイム労働者比率（前年差）","I卸売業・小売業","５人以上","2012.0","-4.5","-6.6","-6.9","-4.4","-7.5","-6.1","-6.6","-3.5","-3.0","-2.7","-1.5","-2.0","-3.8"
"パートタイム労働者比率（前年差）","I卸売業・小売業","５人以上","2013.0","0.1","4.3","5.2","0.0","2.3","2.2","2.7","-1.7","-2.7","-3.6","-3.1","-1.9","-1.8"
"パートタイム労働者比率（前年差）","I卸売業・小売業","５人以上","2014.0","-6.9","-9.3","-9.6","-6.8","-6.9","-7.5","-7.9","-6.9","-6.4","-5.3","-5.6","-5.8","-5.2"
"パートタイム労働者比率（前年差）","I卸売業・小売業","５人以上","2015.0","4.9","3.2","5.8","5.7","2.2","1.9","3.4","6.3","6.2","6.1","6.1","4.8","6.6"
"パートタイム労働者比率","J金融業・保険業","５人以上","2005.0","7.8","4.1","4.8","4.9","7.0","7.0","6.9","8.0","9.1","8.7","10.9","10.7","11.1"
"パートタイム労働者比率","J金融業・保険業","５人以上","2006.0","13.5","10.9","13.6","12.8","13.7","13.5","13.5","12.8","12.9","12.4","14.5","17.0","14.8"
"パートタイム労働者比率","J金融業・保険業","５人以上","2007.0","7.8","8.1","8.1","7.7","7.9","7.2","7.5","7.6","7.9","7.9","7.8","7.8","7.8"
"パートタイム労働者比率","J金融業・保険業","５人以上","2008.0","11.1","7.7","8.6","8.8","8.6","8.5","8.5","13.9","13.7","14.2","13.5","13.3","13.5"
"パートタイム労働者比率","J金融業・保険業","５人以上","2009.0","13.2","13.8","15.3","15.5","15.5","15.3","13.5","11.6","11.4","11.4","11.9","11.4","11.2"
"パートタイム労働者比率","J金融業・保険業","５人以上","2010.0","9.2","8.4","8.8","9.2","9.0","8.4","8.7","9.0","9.7","9.8","10.0","9.8","10.0"
"パートタイム労働者比率","J金融業・保険業","５人以上","2011.0","13.8","13.0","14.9","14.8","14.5","14.5","14.4","13.2","13.3","13.3","13.2","13.2","13.4"
"パートタイム労働者比率","J金融業・保険業","５人以上","2012.0","12.6","13.2","13.3","13.4","13.9","13.7","13.9","11.2","11.2","11.0","12.2","12.1","12.1"
"パートタイム労働者比率","J金融業・保険業","５人以上","2013.0","12.3","12.6","12.6","12.6","13.9","13.8","13.9","10.6","10.6","10.6","12.2","12.2","12.2"
"パートタイム労働者比率","J金融業・保険業","５人以上","2014.0","14.7","16.2","16.2","16.2","15.8","15.5","15.4","14.3","13.1","13.3","13.2","13.3","13.3"
"パートタイム労働者比率","J金融業・保険業","５人以上","2015.0","10.8","13.9","13.2","13.3","13.0","12.6","12.9","8.7","8.5","8.4","8.5","8.5","8.5"
"パートタイム労働者比率（前年差）","J金融業・保険業","５人以上","2006.0","5.7","6.8","8.8","7.9","6.7","6.5","6.6","4.8","3.8","3.7","3.6","6.3","3.7"
"パートタイム労働者比率（前年差）","J金融業・保険業","５人以上","2007.0","-5.7","-2.8","-5.5","-5.1","-5.8","-6.3","-6.0","-5.2","-5.0","-4.5","-6.7","-9.2","-7.0"
"パートタイム労働者比率（前年差）","J金融業・保険業","５人以上","2008.0","3.3","-0.4","0.5","1.1","0.7","1.3","1.0","6.3","5.8","6.3","5.7","5.5","5.7"
"パートタイム労働者比率（前年差）","J金融業・保険業","５人以上","2009.0","2.1","6.1","6.7","6.7","6.9","6.8","5.0","-2.3","-2.3","-2.8","-1.6","-1.9","-2.3"
"パートタイム労働者比率（前年差）","J金融業・保険業","５人以上","2010.0","-4.0","-5.4","-6.5","-6.3","-6.5","-6.9","-4.8","-2.6","-1.7","-1.6","-1.9","-1.6","-1.2"
"パートタイム労働者比率（前年差）","J金融業・保険業","５人以上","2011.0","4.6","4.6","6.1","5.6","5.5","6.1","5.7","4.2","3.6","3.5","3.2","3.4","3.4"
"パートタイム労働者比率（前年差）","J金融業・保険業","５人以上","2012.0","-1.2","0.2","-1.6","-1.4","-0.6","-0.8","-0.5","-2.0","-2.1","-2.3","-1.0","-1.1","-1.3"
